picocom -b 115200 /dev/ttyUSB0
picocom v3.1

port is        : /dev/ttyUSB0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
initialized 661 blocks
mem_output portLow FE portHigh 07 x 07
ATTRIBUTE WR addr 5800 data 38
ATTRIBUTE RD addr 5800 data 38
ATTRIBUTE WR addr 5801 data 38
ATTRIBUTE RD addr 5801 data 38
ATTRIBUTE WR addr 5802 data 38
ATTRIBUTE RD addr 5802 data 38
ATTRIBUTE WR addr 5803 data 38
ATTRIBUTE RD addr 5803 data 38
ATTRIBUTE WR addr 5804 data 38
ATTRIBUTE RD addr 5804 data 38
ATTRIBUTE WR addr 5805 data 38
ATTRIBUTE RD addr 5805 data 38
ATTRIBUTE WR addr 5806 data 38
ATTRIBUTE RD addr 5806 data 38
ATTRIBUTE WR addr 5807 data 38
ATTRIBUTE RD addr 5807 data 38
ATTRIBUTE WR addr 5808 data 38
ATTRIBUTE RD addr 5808 data 38
ATTRIBUTE WR addr 5809 data 38
ATTRIBUTE RD addr 5809 data 38
ATTRIBUTE WR addr 580A data 38
ATTRIBUTE RD addr 580A data 38
ATTRIBUTE WR addr 580B data 38
ATTRIBUTE RD addr 580B data 38
ATTRIBUTE WR addr 580C data 38
ATTRIBUTE RD addr 580C data 38
ATTRIBUTE WR addr 580D data 38
ATTRIBUTE RD addr 580D data 38
ATTRIBUTE WR addr 580E data 38
ATTRIBUTE RD addr 580E data 38
ATTRIBUTE WR addr 580F data 38
ATTRIBUTE RD addr 580F data 38
ATTRIBUTE WR addr 5810 data 38
ATTRIBUTE RD addr 5810 data 38
ATTRIBUTE WR addr 5811 data 38
ATTRIBUTE RD addr 5811 data 38
ATTRIBUTE WR addr 5812 data 38
ATTRIBUTE RD addr 5812 data 38
ATTRIBUTE WR addr 5813 data 38
ATTRIBUTE RD addr 5813 data 38
ATTRIBUTE WR addr 5814 data 38
ATTRIBUTE RD addr 5814 data 38
ATTRIBUTE WR addr 5815 data 38
ATTRIBUTE RD addr 5815 data 38
ATTRIBUTE WR addr 5816 data 38
ATTRIBUTE RD addr 5816 data 38
ATTRIBUTE WR addr 5817 data 38
ATTRIBUTE RD addr 5817 data 38
ATTRIBUTE WR addr 5818 data 38
ATTRIBUTE RD addr 5818 data 38
ATTRIBUTE WR addr 5819 data 38
ATTRIBUTE RD addr 5819 data 38
ATTRIBUTE WR addr 581A data 38
ATTRIBUTE RD addr 581A data 38
ATTRIBUTE WR addr 581B data 38
ATTRIBUTE RD addr 581B data 38
ATTRIBUTE WR addr 581C data 38
ATTRIBUTE RD addr 581C data 38
ATTRIBUTE WR addr 581D data 38
ATTRIBUTE RD addr 581D data 38
ATTRIBUTE WR addr 581E data 38
ATTRIBUTE RD addr 581E data 38
ATTRIBUTE WR addr 581F data 38
ATTRIBUTE RD addr 581F data 38
ATTRIBUTE WR addr 5820 data 38
ATTRIBUTE RD addr 5820 data 38
ATTRIBUTE WR addr 5821 data 38
ATTRIBUTE RD addr 5821 data 38
ATTRIBUTE WR addr 5822 data 38
ATTRIBUTE RD addr 5822 data 38
ATTRIBUTE WR addr 5823 data 38
ATTRIBUTE RD addr 5823 data 38
ATTRIBUTE WR addr 5824 data 38
ATTRIBUTE RD addr 5824 data 38
ATTRIBUTE WR addr 5825 data 38
ATTRIBUTE RD addr 5825 data 38
ATTRIBUTE WR addr 5826 data 38
ATTRIBUTE RD addr 5826 data 38
ATTRIBUTE WR addr 5827 data 38
ATTRIBUTE RD addr 5827 data 38
ATTRIBUTE WR addr 5828 data 38
ATTRIBUTE RD addr 5828 data 38
ATTRIBUTE WR addr 5829 data 38
ATTRIBUTE RD addr 5829 data 38
ATTRIBUTE WR addr 582A data 38
ATTRIBUTE RD addr 582A data 38
ATTRIBUTE WR addr 582B data 38
ATTRIBUTE RD addr 582B data 38
ATTRIBUTE WR addr 582C data 38
ATTRIBUTE RD addr 582C data 38
ATTRIBUTE WR addr 582D data 38
ATTRIBUTE RD addr 582D data 38
ATTRIBUTE WR addr 582E data 38
ATTRIBUTE RD addr 582E data 38
ATTRIBUTE WR addr 582F data 38
ATTRIBUTE RD addr 582F data 38
ATTRIBUTE WR addr 5830 data 38
ATTRIBUTE RD addr 5830 data 38
ATTRIBUTE WR addr 5831 data 38
ATTRIBUTE RD addr 5831 data 38
ATTRIBUTE WR addr 5832 data 38
ATTRIBUTE RD addr 5832 data 38
ATTRIBUTE WR addr 5833 data 38
ATTRIBUTE RD addr 5833 data 38
ATTRIBUTE WR addr 5834 data 38
ATTRIBUTE RD addr 5834 data 38
ATTRIBUTE WR addr 5835 data 38
ATTRIBUTE RD addr 5835 data 38
ATTRIBUTE WR addr 5836 data 38
ATTRIBUTE RD addr 5836 data 38
ATTRIBUTE WR addr 5837 data 38
ATTRIBUTE RD addr 5837 data 38
ATTRIBUTE WR addr 5838 data 38
ATTRIBUTE RD addr 5838 data 38
ATTRIBUTE WR addr 5839 data 38
ATTRIBUTE RD addr 5839 data 38
ATTRIBUTE WR addr 583A data 38
ATTRIBUTE RD addr 583A data 38
ATTRIBUTE WR addr 583B data 38
ATTRIBUTE RD addr 583B data 38
ATTRIBUTE WR addr 583C data 38
ATTRIBUTE RD addr 583C data 38
ATTRIBUTE WR addr 583D data 38
ATTRIBUTE RD addr 583D data 38
ATTRIBUTE WR addr 583E data 38
ATTRIBUTE RD addr 583E data 38
ATTRIBUTE WR addr 583F data 38
ATTRIBUTE RD addr 583F data 38
ATTRIBUTE WR addr 5840 data 38
ATTRIBUTE RD addr 5840 data 38
ATTRIBUTE WR addr 5841 data 38
ATTRIBUTE RD addr 5841 data 38
ATTRIBUTE WR addr 5842 data 38
ATTRIBUTE RD addr 5842 data 38
ATTRIBUTE WR addr 5843 data 38
ATTRIBUTE RD addr 5843 data 38
ATTRIBUTE WR addr 5844 data 38
ATTRIBUTE RD addr 5844 data 38
ATTRIBUTE WR addr 5845 data 38
ATTRIBUTE RD addr 5845 data 38
ATTRIBUTE WR addr 5846 data 38
ATTRIBUTE RD addr 5846 data 38
ATTRIBUTE WR addr 5847 data 38
ATTRIBUTE RD addr 5847 data 38
ATTRIBUTE WR addr 5848 data 38
ATTRIBUTE RD addr 5848 data 38
ATTRIBUTE WR addr 5849 data 38
ATTRIBUTE RD addr 5849 data 38
ATTRIBUTE WR addr 584A data 38
ATTRIBUTE RD addr 584A data 38
ATTRIBUTE WR addr 584B data 38
ATTRIBUTE RD addr 584B data 38
ATTRIBUTE WR addr 584C data 38
ATTRIBUTE RD addr 584C data 38
ATTRIBUTE WR addr 584D data 38
ATTRIBUTE RD addr 584D data 38
ATTRIBUTE WR addr 584E data 38
ATTRIBUTE RD addr 584E data 38
ATTRIBUTE WR addr 584F data 38
ATTRIBUTE RD addr 584F data 38
ATTRIBUTE WR addr 5850 data 38
ATTRIBUTE RD addr 5850 data 38
ATTRIBUTE WR addr 5851 data 38
ATTRIBUTE RD addr 5851 data 38
ATTRIBUTE WR addr 5852 data 38
ATTRIBUTE RD addr 5852 data 38
ATTRIBUTE WR addr 5853 data 38
ATTRIBUTE RD addr 5853 data 38
ATTRIBUTE WR addr 5854 data 38
ATTRIBUTE RD addr 5854 data 38
ATTRIBUTE WR addr 5855 data 38
ATTRIBUTE RD addr 5855 data 38
ATTRIBUTE WR addr 5856 data 38
ATTRIBUTE RD addr 5856 data 38
ATTRIBUTE WR addr 5857 data 38
ATTRIBUTE RD addr 5857 data 38
ATTRIBUTE WR addr 5858 data 38
ATTRIBUTE RD addr 5858 data 38
ATTRIBUTE WR addr 5859 data 38
ATTRIBUTE RD addr 5859 data 38
ATTRIBUTE WR addr 585A data 38
ATTRIBUTE RD addr 585A data 38
ATTRIBUTE WR addr 585B data 38
ATTRIBUTE RD addr 585B data 38
ATTRIBUTE WR addr 585C data 38
ATTRIBUTE RD addr 585C data 38
ATTRIBUTE WR addr 585D data 38
ATTRIBUTE RD addr 585D data 38
ATTRIBUTE WR addr 585E data 38
ATTRIBUTE RD addr 585E data 38
ATTRIBUTE WR addr 585F data 38
ATTRIBUTE RD addr 585F data 38
ATTRIBUTE WR addr 5860 data 38
ATTRIBUTE RD addr 5860 data 38
ATTRIBUTE WR addr 5861 data 38
ATTRIBUTE RD addr 5861 data 38
ATTRIBUTE WR addr 5862 data 38
ATTRIBUTE RD addr 5862 data 38
ATTRIBUTE WR addr 5863 data 38
ATTRIBUTE RD addr 5863 data 38
ATTRIBUTE WR addr 5864 data 38
ATTRIBUTE RD addr 5864 data 38
ATTRIBUTE WR addr 5865 data 38
ATTRIBUTE RD addr 5865 data 38
ATTRIBUTE WR addr 5866 data 38
ATTRIBUTE RD addr 5866 data 38
ATTRIBUTE WR addr 5867 data 38
ATTRIBUTE RD addr 5867 data 38
ATTRIBUTE WR addr 5868 data 38
ATTRIBUTE RD addr 5868 data 38
ATTRIBUTE WR addr 5869 data 38
ATTRIBUTE RD addr 5869 data 38
ATTRIBUTE WR addr 586A data 38
ATTRIBUTE RD addr 586A data 38
ATTRIBUTE WR addr 586B data 38
ATTRIBUTE RD addr 586B data 38
ATTRIBUTE WR addr 586C data 38
ATTRIBUTE RD addr 586C data 38
ATTRIBUTE WR addr 586D data 38
ATTRIBUTE RD addr 586D data 38
ATTRIBUTE WR addr 586E data 38
ATTRIBUTE RD addr 586E data 38
ATTRIBUTE WR addr 586F data 38
ATTRIBUTE RD addr 586F data 38
ATTRIBUTE WR addr 5870 data 38
ATTRIBUTE RD addr 5870 data 38
ATTRIBUTE WR addr 5871 data 38
ATTRIBUTE RD addr 5871 data 38
ATTRIBUTE WR addr 5872 data 38
ATTRIBUTE RD addr 5872 data 38
ATTRIBUTE WR addr 5873 data 38
ATTRIBUTE RD addr 5873 data 38
ATTRIBUTE WR addr 5874 data 38
ATTRIBUTE RD addr 5874 data 38
ATTRIBUTE WR addr 5875 data 38
ATTRIBUTE RD addr 5875 data 38
ATTRIBUTE WR addr 5876 data 38
ATTRIBUTE RD addr 5876 data 38
ATTRIBUTE WR addr 5877 data 38
ATTRIBUTE RD addr 5877 data 38
ATTRIBUTE WR addr 5878 data 38
ATTRIBUTE RD addr 5878 data 38
ATTRIBUTE WR addr 5879 data 38
ATTRIBUTE RD addr 5879 data 38
ATTRIBUTE WR addr 587A data 38
ATTRIBUTE RD addr 587A data 38
ATTRIBUTE WR addr 587B data 38
ATTRIBUTE RD addr 587B data 38
ATTRIBUTE WR addr 587C data 38
ATTRIBUTE RD addr 587C data 38
ATTRIBUTE WR addr 587D data 38
ATTRIBUTE RD addr 587D data 38
ATTRIBUTE WR addr 587E data 38
ATTRIBUTE RD addr 587E data 38
ATTRIBUTE WR addr 587F data 38
ATTRIBUTE RD addr 587F data 38
ATTRIBUTE WR addr 5880 data 38
ATTRIBUTE RD addr 5880 data 38
ATTRIBUTE WR addr 5881 data 38
ATTRIBUTE RD addr 5881 data 38
ATTRIBUTE WR addr 5882 data 38
ATTRIBUTE RD addr 5882 data 38
ATTRIBUTE WR addr 5883 data 38
ATTRIBUTE RD addr 5883 data 38
ATTRIBUTE WR addr 5884 data 38
ATTRIBUTE RD addr 5884 data 38
ATTRIBUTE WR addr 5885 data 38
ATTRIBUTE RD addr 5885 data 38
ATTRIBUTE WR addr 5886 data 38
ATTRIBUTE RD addr 5886 data 38
ATTRIBUTE WR addr 5887 data 38
ATTRIBUTE RD addr 5887 data 38
ATTRIBUTE WR addr 5888 data 38
ATTRIBUTE RD addr 5888 data 38
ATTRIBUTE WR addr 5889 data 38
ATTRIBUTE RD addr 5889 data 38
ATTRIBUTE WR addr 588A data 38
ATTRIBUTE RD addr 588A data 38
ATTRIBUTE WR addr 588B data 38
ATTRIBUTE RD addr 588B data 38
ATTRIBUTE WR addr 588C data 38
